,imgurl,Player,Pos,GP,P,G1,G2,A,Sh,ShP,SOG,TO,CT,GB,FO,FOP,Sv,SvP,Jersey,Rank,Team
1,/static/media/whipsnakes_ic.960b263c.png,Matt Rambo,A,6,25,7,0,18,22,32%,14,15,1,6,0-0,-,-,-,9,1,WHIPSNAKES
2,/static/media/whipsnakes_ic.960b263c.png,Zed Williams,A,6,23,20,0,3,59,34%,37,16,3,9,0-0,-,-,-,36,2,WHIPSNAKES
3,/static/media/chaos_ic.a2debffb.png,Josh Byrne,A,7,20,13,0,7,44,30%,28,8,6,8,0-0,-,-,-,22,3,CHAOS
4,/static/media/archers_ic.d2d97f6c.png,Grant Ament,A,6,20,6,0,14,25,24%,18,13,0,11,0-0,-,-,-,16,4,ARCHERS
5,/static/media/chrome_ic.0f37d38c.png,Jordan Wolf,A,5,18,10,0,8,32,31%,20,8,1,11,0-0,-,-,-,33,5,CHROME
6,/static/media/chaos_ic.a2debffb.png,Curtis Dickson,A,7,18,12,0,6,43,28%,25,4,1,7,0-0,-,-,-,71,6,CHAOS
7,/static/media/archers_ic.d2d97f6c.png,Tom Schreiber,M,6,16,12,0,4,29,41%,21,14,0,6,0-0,-,-,-,26,7,ARCHERS
8,/static/media/chrome_ic.0f37d38c.png,Justin Guterding,A,5,16,10,0,6,32,31%,21,8,2,5,0-0,-,-,-,14,8,CHROME
9,/static/media/redwoods_ic.7b9794c3.png,Ryder Garnsey,A,6,16,10,0,6,38,26%,26,8,2,12,0-0,-,-,-,50,9,REDWOODS
10,/static/media/redwoods_ic.7b9794c3.png,Sergio Perkovic,M,6,15,3,6,0,35,26%,25,8,1,5,0-0,-,-,-,16,10,REDWOODS
11,/static/media/atlas_ic.3a51a780.png,Rob Pannell,A,5,15,6,0,9,34,18%,17,14,1,14,0-0,-,-,-,3,11,ATLAS
12,/static/media/whipsnakes_ic.960b263c.png,Brad Smith,A,6,15,8,0,7,29,28%,20,7,0,10,0-0,-,-,-,27,12,WHIPSNAKES
13,/static/media/archers_ic.d2d97f6c.png,Will Manny,A,6,14,10,0,4,39,26%,28,10,0,7,0-0,-,-,-,4,13,ARCHERS
14,/static/media/whipsnakes_ic.960b263c.png,Mike Chanenchuk,M,6,14,6,2,4,28,29%,16,6,1,4,0-0,-,-,-,1,14,WHIPSNAKES
15,/static/media/waterdogs_ic.aaa1d12f.png,Kieran McArdle,A,5,14,8,0,6,26,31%,18,15,2,6,0-0,-,-,-,6,15,WATERDOGS
16,/static/media/whipsnakes_ic.960b263c.png,John Haus,M,6,13,8,0,5,32,25%,21,8,1,9,0-0,-,-,-,26,16,WHIPSNAKES
17,/static/media/redwoods_ic.7b9794c3.png,Myles Jones,M,6,13,4,2,5,30,20%,18,10,1,7,0-0,-,-,-,15,17,REDWOODS
18,/static/media/whipsnakes_ic.960b263c.png,Jay Carlson,A,6,13,12,0,1,26,46%,22,4,0,17,0-0,-,-,-,32,18,WHIPSNAKES
19,/static/media/redwoods_ic.7b9794c3.png,Matt Kavanagh,A,6,11,7,0,4,24,29%,16,8,2,6,0-0,-,-,-,10,19,REDWOODS
20,/static/media/chrome_ic.0f37d38c.png,Ned Crotty,M,4,10,3,0,7,11,27%,4,7,0,3,0-0,-,-,-,22,20,CHROME
21,/static/media/chrome_ic.0f37d38c.png,Jesse King,M,5,10,8,0,2,19,42%,12,4,0,3,0-0,-,-,-,19,21,CHROME
22,/static/media/chaos_ic.a2debffb.png,Jake Froccaro,M,7,10,3,2,3,31,16%,15,3,3,12,0-5,-,-,-,54,22,CHAOS
23,/static/media/chaos_ic.a2debffb.png,Dhane Smith,M,7,10,6,0,4,19,32%,12,9,1,8,0-0,-,-,-,92,23,CHAOS
24,/static/media/waterdogs_ic.aaa1d12f.png,Connor Kelly,M,5,10,5,2,1,31,23%,18,3,1,5,0-0,-,-,-,40,24,WATERDOGS
